bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
1449,407845,Fernando Rodney,40,ARI,1,82,3.86,0.64,86,61,0,61,55.3,5,4,39,4.23,4.72,3.03,1.19,28.1,11.3,2.5,31.4
70436,605177,Andrew Chafin,27,ARI,0.9,76,3.58,0.63,80,71,0,71,51.3,1,0,0,3.51,3.68,3.39,1.34,27.6,9.5,2.9,27.2
50866,501593,Luis Avilán,27,LAD,0.9,82,3.84,0.61,84,61,0,61,46,2,3,0,2.93,3.13,2.96,1.39,26.8,11.3,2.4,33.1
53014,547973,Aroldis Chapman,29,NYY,0.9,67,3.17,0.61,72,52,0,52,50.3,4,3,22,3.22,3.58,2.56,1.13,32.9,9.5,3.5,29.4
50098,502032,Bud Norris,32,LAA,0.9,91,4.3,0.69,95,60,3,57,62,2,6,19,4.21,4.21,3.9,1.34,27.7,10.1,2.7,30
48858,477569,Fernando Salas,32,,0.9,92,4.32,0.62,93,61,0,61,58.7,2,2,0,5.22,5.98,3.92,1.52,21.3,8.4,2.5,27
104803,656547,Jonathan Holder,24,NYY,0.9,91,4.26,0.75,93,37,0,37,39.3,1,1,0,3.89,3.89,3.62,1.35,23.4,4.7,5,26.5
50095,502028,Blake Wood,31,,0.9,85,3.97,0.58,86,72,0,72,74.3,3,4,0,5.45,5.93,3.67,1.57,25.3,9.9,2.5,29.1
886,407793,John Lackey,38,CHC,0.9,100,4.71,0.56,108,31,30,1,170.7,12,12,0,4.59,4.9,5.3,1.28,20.4,7.3,2.8,23.5
56449,516969,Kelvin Herrera,27,KC,0.9,93,4.38,0.67,97,64,0,64,59.3,3,3,26,4.25,5.01,4.3,1.35,21.6,7.7,2.8,25.5
102675,641871,Keynan Middleton,23,LAA,0.9,90,4.22,0.68,95,64,0,64,58.3,6,1,3,3.86,3.86,4.37,1.34,25.6,7.3,3.5,35.1
105121,657610,Trevor Hildenberger,26,MIN,0.9,81,3.81,0.62,77,37,0,37,42,3,3,1,3.21,3.21,3.01,1.05,25.9,3.5,7.3,26
55735,517008,Alex Colomé,28,TB,0.9,95,4.48,0.58,97,65,0,65,66.7,2,3,47,3.24,3.65,3.37,1.2,20.6,8.2,2.5,25.9
100273,608566,Germán Márquez,22,COL,0.9,95,4.49,0.52,96,29,29,0,162,11,7,0,4.39,4.56,4.4,1.38,21,7,3,20.6
66941,592170,Parker Bridwell,25,LAA,0.9,122,5.72,0.77,121,21,20,1,121,10,3,0,3.64,3.87,4.84,1.2,14.8,6.1,2.4,20.6
60504,573109,AJ Ramos,30,,0.9,93,4.38,0.59,99,61,0,61,58.7,2,4,27,3.99,4.14,4.1,1.41,27.9,13.2,2.1,31.8
48674,453385,Clayton Richard,33,SD,0.9,113,5.29,0.57,96,32,32,0,197.3,8,15,0,4.79,5.2,4.23,1.52,17.6,6.9,2.6,20.2
